Date,Site,Type,City,Salinity,Temp,Month,Year,Where,Species,Common,Abundance
2008-07-18T00:00:00Z,SMCC Dock,Dock,South Portland,29,18,Jul,2008,Mainland,Botrylloides violaceus,Sheath Tunicate,Few
2008-07-18T00:00:00Z,SMCC Dock,Dock,South Portland,29,18,Jul,2008,Mainland,Botryllus schlosseri,Golden Star Tunicate,Rare
2008-07-18T00:00:00Z,SMCC Dock,Dock,South Portland,29,18,Jul,2008,Mainland,Membranipora sp.,Lacy Crust Bryozoan,Abundant
2008-07-18T00:00:00Z,SMCC Dock,Dock,South Portland,29,18,Jul,2008,Mainland,Carcinus maenas,Green Crab,Absent
2008-07-18T00:00:00Z,SMCC Dock,Dock,South Portland,29,18,Jul,2008,Mainland,Ascidiella aspersa,Sea Squirt,Absent
2008-07-18T00:00:00Z,SMCC Dock,Dock,South Portland,29,18,Jul,2008,Mainland,Hemigrapsus sanguineus,Asian Shore Crab,Absent
2008-07-18T00:00:00Z,SMCC Dock,Dock,South Portland,29,18,Jul,2008,Mainland,Styela clava,Club Tunicate,Absent
2008-07-18T00:00:00Z,SMCC Dock,Dock,South Portland,29,18,Jul,2008,Mainland,Ostrea edulis,European Oyster,Absent
2008-07-18T00:00:00Z,SMCC Dock,Dock,South Portland,29,18,Jul,2008,Mainland,Bugula neritina,Purple Bushy Bryozoan,Absent
2008-07-18T00:00:00Z,SMCC Dock,Dock,South Portland,29,18,Jul,2008,Mainland,Caprella mutica,Skeleton Shrimp,Absent
2008-07-18T00:00:00Z,SMCC Dock,Dock,South Portland,29,18,Jul,2008,Mainland,Diplosoma listerianum,Diplosoma Tunicate,Absent
2008-07-18T00:00:00Z,SMCC Dock,Dock,South Portland,29,18,Jul,2008,Mainland,Didemnum vexillum,"""Mystery"" Colonial Tunicate",Absent
2008-07-18T00:00:00Z,SMCC Dock,Dock,South Portland,29,18,Jul,2008,Mainland,"NA",NA,Absent
2008-07-18T00:00:00Z,SMCC Dock,Dock,South Portland,29,18,Jul,2008,Mainland,Colpomenia peregrina,Sea potato,Absent
2008-07-18T00:00:00Z,SMCC Dock,Dock,South Portland,29,18,Jul,2008,Mainland,Diadumene lineata,Striped Anemone,Absent
2008-07-18T00:00:00Z,SMCC Dock,Dock,South Portland,29,18,Jul,2008,Mainland,Codium fragile,Green Fleece,Absent
2008-07-18T00:00:00Z,SMCC Dock,Dock,South Portland,29,18,Jul,2008,Mainland,Corella eumyota,Tunicate,Absent
2008-07-18T00:00:00Z,SMCC Dock,Dock,South Portland,29,18,Jul,2008,Mainland,Palaemon elegans,European Rock Shrimp,Absent
2008-07-18T00:00:00Z,SMCC Dock,Dock,South Portland,29,18,Jul,2008,Mainland,Tricellaria inopinata,Unexpected Bryozoan,Absent
2008-08-22T00:00:00Z,SMCC Dock,Dock,South Portland,25,18,Aug,2008,Mainland,Botrylloides violaceus,Sheath Tunicate,Few
