Name,Latitude,Longitude
Kennebunk Beach,43.34510926720219,-70.49141551307511
Peak's tidepool,43.65227756902159,-70.1901670432824
Wells Harbor,43.32005192932002,-70.56339411353923
York Town Dock,43.13050488355674,-70.64700132731573
Biddeford Pool,43.44524944581317,-70.33980642161114
SMCC Dock,43.65087850982744,-70.22828542664719
Fowler's Beach,43.68067390201227,-70.1698269810895
Segal's Reef,43.646521,-70.226344
Long Is. Ferry Dock,43.69170725839506,-70.16508095848403
Chebeague Stone Pier,43.75172275918951,-70.10798492669339
Chandler's Wharf,43.71611790642398,-70.12657270567544
Peaks Island Dock,43.655589,-70.19979499999999
Kittery Sea Point,43.06561384366012,-70.69187031773984
Spring Point Marina,43.64947833912757,-70.23196546105996
Waldo Point,43.70828803137253,-70.12786961267315
Great Diamond Dock,43.68467560670506,-70.19154845291642
Great Diamond Tidepool,43.68424224395386,-70.18799214660422
